Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
A556/3071A,01/01/2019 00:00,00:14:00,0,34,1,0,0,,,,,,,,,,,,,,,58,35
A556/3071A,01/01/2019 00:00,00:29:00,1,40,0,0,2,,,,,,,,,,,,,,,59,42
A556/3071A,01/01/2019 00:00,00:44:00,2,80,2,0,2,,,,,,,,,,,,,,,59,84
A556/3071A,01/01/2019 00:00,00:59:00,3,91,1,0,1,,,,,,,,,,,,,,,56,93
A556/3071A,01/01/2019 00:00,01:14:00,4,83,0,0,1,,,,,,,,,,,,,,,57,84
A556/3071A,01/01/2019 00:00,01:29:00,5,74,1,0,2,,,,,,,,,,,,,,,56,77
A556/3071A,01/01/2019 00:00,01:44:00,6,69,1,0,2,,,,,,,,,,,,,,,57,72
A556/3071A,01/01/2019 00:00,01:59:00,7,73,1,0,1,,,,,,,,,,,,,,,58,75
A556/3071A,01/01/2019 00:00,02:14:00,8,55,0,0,2,,,,,,,,,,,,,,,54,57
A556/3071A,01/01/2019 00:00,02:29:00,9,42,0,1,2,,,,,,,,,,,,,,,57,45
A556/3071A,01/01/2019 00:00,02:44:00,10,46,0,2,0,,,,,,,,,,,,,,,58,48
A556/3071A,01/01/2019 00:00,02:59:00,11,33,0,0,2,,,,,,,,,,,,,,,58,35
A556/3071A,01/01/2019 00:00,03:14:00,12,36,2,0,0,,,,,,,,,,,,,,,57,38
A556/3071A,01/01/2019 00:00,03:29:00,13,35,0,2,1,,,,,,,,,,,,,,,59,38
A556/3071A,01/01/2019 00:00,03:44:00,14,28,0,0,1,,,,,,,,,,,,,,,56,29
A556/3071A,01/01/2019 00:00,03:59:00,15,28,1,0,1,,,,,,,,,,,,,,,60,30
A556/3071A,01/01/2019 00:00,04:14:00,16,26,1,2,0,,,,,,,,,,,,,,,56,29
A556/3071A,01/01/2019 00:00,04:29:00,17,20,0,2,0,,,,,,,,,,,,,,,57,22
A556/3071A,01/01/2019 00:00,04:44:00,18,23,0,1,2,,,,,,,,,,,,,,,60,26
A556/3071A,01/01/2019 00:00,04:59:00,19,18,0,0,1,,,,,,,,,,,,,,,58,19
A556/3071A,01/01/2019 00:00,05:14:00,20,21,1,0,0,,,,,,,,,,,,,,,56,22
A556/3071A,01/01/2019 00:00,05:29:00,21,24,1,0,1,,,,,,,,,,,,,,,57,26
A556/3071A,01/01/2019 00:00,05:44:00,22,24,1,0,2,,,,,,,,,,,,,,,55,27
A556/3071A,01/01/2019 00:00,05:59:00,23,21,0,1,1,,,,,,,,,,,,,,,56,23
A556/3071A,01/01/2019 00:00,06:14:00,24,29,1,0,1,,,,,,,,,,,,,,,57,31
A556/3071A,01/01/2019 00:00,06:29:00,25,38,0,1,1,,,,,,,,,,,,,,,58,40
A556/3071A,01/01/2019 00:00,06:44:00,26,55,3,4,1,,,,,,,,,,,,,,,59,63
A556/3071A,01/01/2019 00:00,06:59:00,27,37,0,1,3,,,,,,,,,,,,,,,58,41
A556/3071A,01/01/2019 00:00,07:14:00,28,38,4,1,1,,,,,,,,,,,,,,,58,44
A556/3071A,01/01/2019 00:00,07:29:00,29,42,1,1,3,,,,,,,,,,,,,,,58,47
A556/3071A,01/01/2019 00:00,07:44:00,30,57,2,3,2,,,,,,,,,,,,,,,59,64
A556/3071A,01/01/2019 00:00,07:59:00,31,74,0,2,5,,,,,,,,,,,,,,,56,81
A556/3071A,01/01/2019 00:00,08:14:00,32,68,0,1,4,,,,,,,,,,,,,,,57,73
A556/3071A,01/01/2019 00:00,08:29:00,33,66,2,0,4,,,,,,,,,,,,,,,58,72
A556/3071A,01/01/2019 00:00,08:44:00,34,73,0,2,2,,,,,,,,,,,,,,,60,77
A556/3071A,01/01/2019 00:00,08:59:00,35,88,1,6,8,,,,,,,,,,,,,,,57,103
A556/3071A,01/01/2019 00:00,09:14:00,36,93,4,0,1,,,,,,,,,,,,,,,59,98
A556/3071A,01/01/2019 00:00,09:29:00,37,112,0,0,3,,,,,,,,,,,,,,,58,115
A556/3071A,01/01/2019 00:00,09:44:00,38,112,2,1,0,,,,,,,,,,,,,,,58,115
A556/3071A,01/01/2019 00:00,09:59:00,39,112,2,1,4,,,,,,,,,,,,,,,58,119
